名前,説明,値段,色,削除判断
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
トマト, 真っ赤で美味しい野菜です, 110, 赤, false
ピーマン, 苦いけどピーマンの肉詰めは最高です, 84, 緑, false
きゅうり, 塩漬けして食べると味が染みわたります, 68, 緑, false
ブロッコリー, 野菜の王様です, 268, 緑, false
パプリカ, これだけあればあとはいらない, 158, 黄, false
